COMPOUND_ID,clean_smiles,max_sim_SA_all,max_sim_SA_active,max_sim_SA_inactive,ensemble_prediction,prediction,decision_scenario,reliability_status,source_library,product_linkage_type,SA_score,MW,LogP,TPSA,pathogen_model,similarity_to_training,priority_tier,max_sim_EC_all,max_sim_EC_active,max_sim_EC_inactive,max_sim_CA_all,max_sim_CA_active,max_sim_CA_inactive
CMPD_197,C#Cc1ccc2c(c1)CC[C@@H]2N(C(=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O)[C@H](C(=O)NO)[C@@H](C)O,,,,0.9928134560585022,1,A,HIGH,EC,urea,4.81843240392856,523.5880000000003,-0.1753099999999972,185.37,EC,0.3488372093023256,1,0.3488372093023256,0.3488372093023256,0.2608695652173913,,,
CMPD_151,Cc1noc(N(C(=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O)S(=O)(=O)c2ccccc2)c1C,,,,0.9826329708099364,1,A,HIGH,EC,urea,3.859933626806989,501.5630000000003,1.09943,175.98,EC,0.3571428571428571,1,0.3571428571428571,0.3571428571428571,0.3157894736842105,,,
CMPD_156,C[C@@](C[CH]CNC(=O)Nc1ncc2cc(-c3c(Cl)cccc3Cl)cnc2n1)(C(=O)NO)S(C)(=O)=O,,,,0.9710289597511292,1,A,HIGH,EC,urea,3.786636845247149,540.4090000000002,3.0231900000000005,163.26999999999998,EC,0.3157894736842105,1,0.3157894736842105,0.3157894736842105,0.2631578947368421,,,
CMPD_141,C[C@@](C[CH]CNC(=O)N[C@H](CC#N)c1cccc(Cl)c1)(C(=O)NO)S(C)(=O)=O,,,,0.963107979297638,1,A,HIGH,EC,urea,3.9699354358129657,429.9060000000001,1.49707,148.39,EC,0.3552631578947368,1,0.3552631578947368,0.3552631578947368,0.2911392405063291,,,
CMPD_199,CC(NCCC(=O)N/N=C/c1c(O)ccc2ccccc12)NC(=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O,,,,0.9630678772926332,1,A,HIGH,EC,urea,4.120165100640675,549.6300000000003,0.5234900000000021,198.32,EC,0.4444444444444444,1,0.4444444444444444,0.4166666666666667,0.4444444444444444,,,
CMPD_200,C[C@@](C[CH]CNC(=O)Nc1nc(-c2ccc(NC(=O)c3ccccc3)cc2)c(N=N)s1)(C(=O)NO)S(C)(=O)=O,,,,0.9627087473869324,1,A,HIGH,EC,urea,3.723315821283696,572.6490000000001,3.749460000000001,202.8,EC,0.3975903614457831,1,0.3975903614457831,0.3975903614457831,0.3111111111111111,,,
CMPD_195,CC(C)C(ONC(=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O)c1cc(=O)c(O)cn1O,,,,0.9465075254440308,1,A,HIGH,EC,urea,4.709998090479195,463.48900000000015,-0.3778099999999977,196.29,EC,0.34,1,0.34,0.33,0.34,,,
CMPD_176,C[C@@](C[CH]CNC(=O)Nc1ccc2cnc(N)nc2n1)(C(=O)NO)S(C)(=O)=O,,,,0.9426098108291626,1,A,HIGH,EC,urea,3.800640170237892,410.43600000000015,-0.3684099999999985,189.29,EC,0.3142857142857143,1,0.3142857142857143,0.3142857142857143,0.2948717948717949,,,
CMPD_165,C[C@@](C[CH]CNC(=O)NC(=N)c1ccccc1)(C(=O)NO)S(C)(=O)=O,,,,0.9360079884529112,1,A,HIGH,EC,urea,3.759765558531132,369.4230000000001,0.2142600000000017,148.45000000000002,EC,0.4385964912280701,1,0.4385964912280701,0.4385964912280701,0.3333333333333333,,,
CMPD_135,C[C@@](C[CH]CNC(=O)NCc1ccc(-c2ccccc2C#N)cc1)(C(=O)NO)S(C)(=O)=O,,,,0.9300018787384032,1,A,HIGH,EC,urea,3.366414813315295,457.5320000000002,1.92757,148.39,EC,0.4307692307692308,1,0.4307692307692308,0.4307692307692308,0.3157894736842105,,,
CMPD_385,C[C@H]1NC[C@@H]1NC(=O)c1ccc(F)cc1,,,,0.8595603108406067,1,A,HIGH,SA_EC,amide,2.9326295813827894,208.236,0.9158,41.13,CA,0.3720930232558139,1,,,,0.3720930232558139,0.3695652173913043,0.3720930232558139
CMPD_216,NC(O)CC(=O)N(Cc1ccco1)c1ccc2oc(-c3ccccc3)nc2c1,,,,0.7977739095687866,1,A,HIGH,CA,amide,2.954361897633304,377.4000000000001,3.2882000000000016,105.73,CA,0.3857142857142857,1,,,,0.3857142857142857,0.3857142857142857,0.3058823529411765
CMPD_428,CCC(=O)N(C1=C[N+]=CC=C1)c1ccccc1,,,,0.7762492060661316,1,A,HIGH,SA_CA,amide,3.5973576336458937,226.279,2.2474000000000007,34.410000000000004,CA,0.3191489361702128,1,,,,0.3191489361702128,0.3013698630136986,0.3191489361702128
CMPD_352,C[C@H](NC(=O)c1ccc(F)cc1)[C@@H]1CCNC1,,,,0.6982165455818177,1,A,HIGH,SA_EC,amide,2.706889280683166,236.29,1.5534999999999997,41.13,CA,0.35,1,,,,0.35,0.35,0.3333333333333333
CMPD_111,N#Cc1ccccc1-c1ccc(CNC(=O)C[C@@H](C[S+][O-])CC(=O)O)cc1,,,,0.6704383373260498,1,A,HIGH,EC,amide,3.225827818182481,383.44900000000007,2.53548,113.25,CA,0.38,1,,,,0.38,0.38,0.3272727272727272
