COMPOUND_ID,pathogen_model,source_library,product_linkage_type,clean_smiles,similarity_to_training,similarity_to_actives,similarity_to_inactives,active_inactive_ratio,ensemble_prediction,decision_scenario,reliability_status,MW,LogP,TPSA,HBD,HBA,SA_score
CMPD_216,EC,CA,amide,NC(O)CC(=O)N(Cc1ccco1)c1ccc2oc(-c3ccccc3)nc2c1,0.4067796610169492,0.4067796610169492,0.3058823529411765,1.2877568412082188,0.774632728099823,A,HIGH,377.4000000000001,3.2882000000000016,105.73,2,6,2.954361897633304
CMPD_279,EC,CA,amide,CCCCCCCCCCCCCCN(C(=O)[C@H](Cn1ccnc1)NC(=O)C(N)S)C(C)CC,0.3508771929824561,0.3508771929824561,0.3508771929824561,0.9722897423432183,0.7251193761825562,A,HIGH,495.7780000000001,4.910700000000004,93.25,3,6,3.7811248860835978
CMPD_429,EC,SA_CA,amide,CCCCCCCCN(C(=O)CCCNC(=O)CS)C1=CCN(C)CC1,0.3461538461538461,0.3461538461538461,0.3461538461538461,0.9719222462203023,0.7059513568878174,A,HIGH,383.60200000000015,3.221100000000002,52.65,2,4,2.854756359853546
CMPD_320,EC,SA_EC,amide,O=C(NCCc1nnc(S)n1Cc1ccccc1)c1ccc(F)cc1,0.4137931034482758,0.3571428571428571,0.4137931034482758,0.8427292804835522,0.6973549604415894,A,HIGH,356.42600000000004,2.726700000000001,59.81,2,5,2.0808646977151035
CMPD_138,EC,EC,urea,Cc1noc(N(C(=O)NC[CH]C(=O)NO)S(=O)(=O)c2ccccc2)c1C,0.3582089552238806,0.3421052631578947,0.3582089552238806,0.9291063085358308,0.6812106728553772,A,HIGH,381.3900000000001,0.90603,141.84,3,7,3.102415404956619
CMPD_594,EC,CA_EC,amide,CNCCOP(=O)(NC(Cc1ccccc1)C(=O)N(CCOPNCCc1ccccc1)C1=CCOc2ccccc21)Oc1ccccc1,0.3939393939393939,0.3939393939393939,0.3653846153846153,1.0494287133631397,0.6449842751026154,A,HIGH,702.7290000000003,6.229900000000006,110.39,3,8,4.477686220407687
CMPD_237,EC,CA,amide,CCCCCCCCCCCCCCNC(=O)[C@H](Cn1ccnc1)NC(=O)C(N)S,0.4117647058823529,0.4117647058823529,0.4081632653061224,0.984698418166681,0.5992305040359497,A,HIGH,439.6700000000001,3.3998000000000013,102.04,4,6,3.373251878639625
CMPD_096,SA,SA,urea,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](N(C)C(=O)N(C[CH]CNC(C)=O)c4ccc(-c5ccc(C=N)c(O)c5)c(F)c4)CO3)c2n1,0.4454545454545454,0.4454545454545454,0.2595419847328244,1.6526351020828502,0.9936635613441468,A,HIGH,691.7120000000002,3.830560000000002,170.42999999999995,4,10,4.517487632540008
CMPD_098,SA,SA,urea,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](N(C)C(=O)N(C[CH]CNC(C)=O)c4ccc(-c5ccc(C=N)c(O)c5)c(F)c4)CO3)c2c1,0.4423076923076923,0.4423076923076923,0.288135593220339,1.4835789565749768,0.990149700641632,A,HIGH,690.7240000000003,4.435560000000003,157.53999999999996,4,9,4.423729390781766
CMPD_087,SA,SA,urea,COc1ccc2nccc(CC[C@H]3OC[C@H](N(C)C(=O)N(C[CH]CNC(C)=O)c4ccc(-c5ccc(C=N)c(O)c5)c(F)c4)CO3)c2c1,0.4411764705882353,0.4326923076923077,0.4411764705882353,0.9590311904523118,0.9822525382041932,A,HIGH,656.7350000000002,5.325660000000005,137.30999999999997,3,8,3.781671184430646
CMPD_069,SA,SA,urea,CC(=O)NC[CH]CN(C(=O)N(C[C@H]1CNC(=O)O1)c1ccon1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3703703703703703,0.3703703703703703,0.2689075630252101,1.3279323312465823,0.982061553001404,A,HIGH,537.5280000000002,3.065760000000001,161.08999999999995,4,8,4.251631951819826
CMPD_077,SA,SA,urea,CC(=O)NC[CH]CN(C(=O)N1CCN(c2c(F)cccc2F)CCN1C(=O)CO)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3557692307692308,0.3557692307692308,0.2828282828282828,1.2149414917610848,0.9772387742996216,A,HIGH,625.628,3.299060000000002,140.51,4,7,3.701389392443073
CMPD_479,SA,SA_CA,amide,CCC(=O)N(CCCNCCCCCCCCCCNCCCNCCc1cc[nH]c1)CCCc1ccccc1,0.4363636363636363,0.4363636363636363,0.4363636363636363,0.9775967413441955,0.9729479074478148,A,HIGH,553.8800000000003,6.098400000000005,72.19,4,4,2.82081028053992
CMPD_086,SA,SA,urea,CC(=O)NC[CH]CN(C(=O)N(C)CCCNc1nc2ccccc2[nH]1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3153153153153153,0.3153153153153153,0.2891566265060241,1.0540141430193786,0.9715027451515198,A,HIGH,558.6380000000003,4.773060000000004,137.44,5,6,3.4132040385845395
CMPD_499,SA,SA_CA,amide,CC(C)[C@H](NC(=O)CS)C(=O)N(CCCNCCCCCCCCCCNCCCNCCc1c[nH]c2ccccc12)CCCc1ccccc1,0.4492753623188406,0.4492753623188406,0.3866666666666666,1.13262696382901,0.9516745805740356,A,HIGH,721.1130000000004,6.912200000000007,101.29,6,6,3.513600021696816
CMPD_500,SA,SA_CA,amide,CC(C)C[C@H](NC(=O)CS)C(=O)N(CCCNCCCCCCCCCCNCCCNCCc1c[nH]c2ccccc12)CCCc1ccccc1,0.4366197183098591,0.4366197183098591,0.3766233766233766,1.1293153614329576,0.950322949886322,A,HIGH,735.1400000000003,7.302300000000007,101.29,6,6,3.546080325299693
CMPD_036,SA,SA,urea,CC(=O)NC[CH]CN(C(=O)N1C[C@@H]2C(C#N)[C@@H]2C1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3846153846153846,0.3846153846153846,0.2871287128712871,1.2944403147668726,0.9462375283241272,A,HIGH,462.5050000000002,3.164140000000001,120.52,3,5,4.500419460982382
CMPD_095,SA,SA,urea,CC(=O)NC[CH]CN(C(=O)NC(=N)Nc1nccc(-c2scnc2C)n1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3085106382978723,0.3085106382978723,0.2941176470588235,1.0144450388904893,0.9457441926002502,A,HIGH,588.649,4.321150000000002,180.07,6,9,3.8086013012375775
CMPD_064,SA,SA,urea,CC(=O)NC[CH]CN(C(=O)N1CCNN(C(=O)CO)CC1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3725490196078431,0.3725490196078431,0.2857142857142857,1.2598276025386,0.939260470867157,A,HIGH,513.5500000000003,1.10386,149.29999999999998,5,7,3.645080738495724
CMPD_438,SA,SA_CA,amide,CC(C)C[C@H](NC(=O)CS)C(=O)N(C[C@H]1CN(c2ccc(N3CCOCC3)cc2)CO1)Sc1ccccc1,0.3258426966292135,0.3157894736842105,0.3258426966292135,0.9402898346568997,0.935480296611786,A,HIGH,558.7700000000004,3.6825000000000014,74.35000000000001,2,8,3.849448388735784
CMPD_220,SA,CA,amide,O=CN[C@@H](Cn1ccnc1)C(=O)N(NC=O)c1cccc(Cl)c1,0.3970588235294117,0.3970588235294117,0.3636363636363636,1.0626878488621725,0.9327825665473938,A,HIGH,335.7510000000001,0.3452999999999995,96.33,2,5,3.6430837906387534
CMPD_241,SA,CA,amide,COc1ccc(N(NC=O)C(=O)[C@H](Cn2ccnc2)NC=O)cc1,0.3768115942028985,0.3380281690140845,0.3768115942028985,0.8738832394893905,0.9302680253982544,A,HIGH,331.332,-0.2994999999999999,105.56,2,6,3.5089089518324545
CMPD_092,SA,SA,urea,CC(=O)NC[CH]CN(C(=O)NC(=N)N/N=C/CCNS(=O)(=O)c1ccccc1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3063063063063063,0.3063063063063063,0.2718446601941747,1.0867912349138669,0.928008234500885,A,HIGH,623.6910000000001,2.9311300000000005,199.93,7,8,3.695695286184512
CMPD_051,SA,SA,urea,CC(=O)NC[CH]CN(C(=O)Nc1ccc2c(c1)CCC2)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3469387755102041,0.3469387755102041,0.2705882352941176,1.2364694305395116,0.9273076891899108,A,HIGH,487.5550000000003,5.063560000000004,105.52,4,4,3.146548059689546
CMPD_240,SA,CA,amide,COc1cccc(N(NC=O)C(=O)[C@H](Cn2ccnc2)NC=O)c1,0.3648648648648648,0.3648648648648648,0.3582089552238806,0.9909179548417488,0.9217669367790222,A,HIGH,331.332,-0.2994999999999999,105.56,2,6,3.581800807036074
CMPD_070,SA,SA,urea,CC(=O)NC[CH]CN(C(=O)Nc1c[nH]c2ccccc12)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3636363636363636,0.3636363636363636,0.2911392405063291,1.2075356337651417,0.9167716264724732,A,HIGH,486.52700000000016,5.056160000000003,121.31,5,4,3.206227697698597
CMPD_497,SA,SA_CA,amide,CC(C)C[C@H](NC(=O)CS)C(=O)N(CCCNCCCCCCCCCCNCCCNCCc1cc[nH]c1)CCCc1ccccc1,0.373134328358209,0.373134328358209,0.373134328358209,0.9738994935722634,0.9166300058364868,A,HIGH,685.0800000000004,6.149100000000005,101.29,6,6,3.60132151030622
CMPD_099,SA,SA,urea,CC(=O)NC[CH]CN(C(=O)NS(=O)(=O)Nc1ccc(-n2ccc(C(F)(F)F)n2)cc1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3333333333333333,0.3333333333333333,0.2636363636363636,1.2181616832779623,0.915131664276123,A,HIGH,660.6300000000002,4.613760000000003,169.51,5,8,3.599060855439987
CMPD_066,SA,SA,urea,CCNC(=O)NC(N)NC(=O)N(C[CH]CNC(C)=O)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3372093023255814,0.3372093023255814,0.2771084337349397,1.174501556568328,0.9138169050216676,A,HIGH,486.5280000000001,1.6137600000000016,172.67,7,6,3.916663768324071
CMPD_495,SA,SA_CA,amide,CC(C)[C@H](NC(=O)CS)C(=O)N(CCCNCCCCCCCCCCNCCCNCCc1cc[nH]c1)CCCc1ccccc1,0.3846153846153846,0.3846153846153846,0.3846153846153846,0.9746588693957114,0.9128185153007508,A,HIGH,671.0530000000005,5.759000000000005,101.29,6,6,3.5738581228300426
CMPD_049,SA,SA,urea,CC(=O)NC[CH]CN(C(=O)NCc1nccs1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3333333333333333,0.3333333333333333,0.2705882352941176,1.1879804332634523,0.8812286615371704,A,HIGH,468.53400000000016,3.709060000000002,118.41,4,6,3.318288688078021
CMPD_050,SA,SA,urea,CC(=O)NC[CH]CN(C(=O)NCCC1CCCCC1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3608247422680412,0.3608247422680412,0.2738095238095238,1.2713623469175948,0.8792179703712464,A,HIGH,481.5920000000004,5.022760000000004,105.52,4,4,3.2012483285235938
CMPD_424,SA,SA_CA,amide,CC(C)[C@H](NC(=O)CS)C(=O)N(C[C@H]1CN(c2ccc(N3CCOCC3)cc2)CO1)Sc1ccccc1,0.3225806451612903,0.3225806451612903,0.3181818181818182,0.9829327137878652,0.8749819278717041,A,HIGH,544.7430000000004,3.292400000000001,74.35000000000001,2,8,3.827327099920942
CMPD_471,SA,SA_CA,amide,CCC(=O)N(CCCNCCCCCCNCCCNCCc1cc[nH]c1)CCCc1ccccc1,0.4363636363636363,0.4363636363636363,0.4363636363636363,0.9775967413441955,0.8597659826278686,A,HIGH,497.7720000000002,4.538000000000004,72.19,4,4,2.7424629149785424
CMPD_205,SA,CA,amide,O=CN[C@@H](Cn1ccnc1)C(=O)N(C(=S)S)c1ccccc1,0.4259259259259259,0.3870967741935484,0.4259259259259259,0.8879875023981144,0.8486628413200379,A,HIGH,334.42600000000004,1.2455999999999996,67.23,2,5,3.482228909495694
CMPD_093,SA,SA,urea,CC(=O)NC[CH]CN(C(=O)NCCCNc1cc(O)c2ccccc2n1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.4,0.3529411764705882,0.4,0.8608321377331419,0.8469570755958558,A,HIGH,571.6330000000003,4.808360000000004,150.67000000000002,6,7,3.38276550204176
CMPD_097,SA,SA,urea,CC(=O)NC[CH]CN(C(=O)NC(=N)N/N=C(\C)c1ccc(NC(N)=O)cc1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3614457831325301,0.3614457831325301,0.2947368421052631,1.186091516324365,0.8464545011520386,A,HIGH,588.6240000000001,3.491530000000001,208.88,8,7,3.57650047557461
CMPD_019,SA,SA,urea,CC(=O)NC[CH]CN(C(=O)NN(C)C=S)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.351063829787234,0.351063829787234,0.2911392405063291,1.1657857315339002,0.8428891479969025,A,HIGH,444.5120000000001,2.8563600000000013,108.76,4,5,3.701243070118236
CMPD_527,SA,CA_EC,amide,CCC(C)OCCCCCCCCNC(=N)NC(=O)N(C)Cc1ccccc1,0.3548387096774194,0.3548387096774194,0.3548387096774194,0.9725906277630415,0.8175575494766235,A,HIGH,390.5720000000001,4.508070000000004,77.45,3,3,2.973461345864397
CMPD_045,SA,SA,urea,CC(=O)NC[CH]CN(C(=O)N(C)c1ccon1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.34,0.34,0.2823529411764706,1.1629778672032194,0.8121649026870728,A,HIGH,452.4660000000002,3.5871600000000026,122.76,3,6,3.5768791724884217
CMPD_496,SA,SA_CA,amide,CC(C)C[C@H](NC(=O)CS)C(=O)N(CCCNCCCCCCNCCCNCCc1c[nH]c2ccccc12)CCCc1ccccc1,0.4366197183098591,0.4366197183098591,0.3766233766233766,1.1293153614329576,0.7912987112998963,A,HIGH,679.0320000000003,5.7419000000000056,101.29,6,6,3.439334459946508
CMPD_494,SA,SA_CA,amide,CC(C)[C@H](NC(=O)CS)C(=O)N(CCCNCCCCCCNCCCNCCc1c[nH]c2ccccc12)CCCc1ccccc1,0.4492753623188406,0.4492753623188406,0.3866666666666666,1.13262696382901,0.7754910349845886,A,HIGH,665.0050000000002,5.351800000000006,101.29,6,6,3.408297828712396
CMPD_671,SA,TRIPLE,amide,Cc1nc(/N=C2\NC(=O)CS2)sc1C(=O)NC1=NCN=C(N(C)C)N1,0.375,0.375,0.3582089552238806,1.018443453587353,0.7541679739952087,A,HIGH,380.4590000000001,-0.1338799999999999,123.44,3,10,3.9644395878249945
CMPD_197,SA,EC,urea,C#Cc1ccc2c(c1)CC[C@@H]2N(C(=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O)[C@H](C(=O)NO)[C@@H](C)O,0.3058823529411765,0.3033707865168539,0.3058823529411765,0.9603916891595001,0.7116702616214752,A,HIGH,523.5880000000003,-0.1753099999999972,185.37,6,8,4.81843240392856
CMPD_602,SA,TRIPLE,amide,Cc1nc(/N=C2\NC(=O)CS2)sc1C(=O)N1CCC(C)CC1,0.4067796610169492,0.4067796610169492,0.3928571428571428,1.0097367472051932,0.6515361785888671,A,HIGH,338.4580000000002,2.1741200000000003,74.66,1,6,3.1167404787748465
CMPD_490,SA,SA_CA,amide,CC(C)C[C@H](NC(=O)CS)C(=O)N(CCCNCCCCCCNCCCNCCc1cc[nH]c1)CCCc1ccccc1,0.373134328358209,0.373134328358209,0.373134328358209,0.9738994935722634,0.6226096987724304,A,HIGH,628.9720000000002,4.588700000000005,101.29,6,6,3.518085381966851
