rank,fragment_id,fragment_smiles,pathogen_count,total_compounds,total_tp,total_tn,overall_avg_attribution,overall_max_attribution,avg_activity_rate_percent,SA_compounds,SA_tp,SA_tn,SA_avg_attr,SA_activity_pct,EC_compounds,EC_tp,EC_tn,EC_avg_attr,EC_activity_pct,CA_compounds,CA_tp,CA_tn,CA_avg_attr,CA_activity_pct,SA_example_id,SA_example_smiles,SA_example_target,SA_example_attr,SA_example_pred,SA_example_mw,EC_example_id,EC_example_smiles,EC_example_target,EC_example_attr,EC_example_pred,EC_example_mw,CA_example_id,CA_example_smiles,CA_example_target,CA_example_attr,CA_example_pred,CA_example_mw
168,555,C-C-C(C(C)C)-C,3,93,86,7,0.2412,0.3808,90.53,40,40,0,0.22,100.0,30,28,2,0.218,93.33,23,18,5,0.286,78.26,CHEMBL283549,CC(C)C1=CC=C2C(=C1)CCC1C(C)(C/N=C(\S)NNC(=O)CN3C(C4CCNCC4)=NC4=CC(Cl)=C(Cl)C=C43)CCC[C@]21C,1,0.35,0.989,669.8,CHEMBL3099254,COC(=O)[C@]1(C)CCC[C@]2(C)C3=CC=C(C(C)C)C=C3C3=C(C4=CC=CC=C4N3CCN3C([N+](=O)[O-])=CN=C3C)[C@@H]12,1,0.373,0.862,554.7,CHEMBL3099252,COC(=O)[C@]1(C)CCC[C@]2(C)C3=CC=C(C(C)C)C=C3C3=C(C4=CC=CC=C4N3CCN3C=CN=C3)[C@@H]12,1,0.381,0.659,495.7
169,1678,C-NC,3,84,84,0,0.3419,0.3808,100.0,39,39,0,0.321,100.0,27,27,0,0.342,100.0,18,18,0,0.362,100.0,CHEMBL2298079,CN1C=C(CCCNC(=O)CCC2=CN(C)C3=CC=C(Cl)C=C23)C2=CC(Cl)=CC=C21,1,0.381,0.975,442.4,CHEMBL5278368,CN1C=C(CN2CCN(CC3=CC=C(Cl)C=C3Cl)CC2)C2=CC(C#N)=CC=C21,1,0.381,0.828,413.4,CHEMBL2298087,CN1C=C(CCC(=O)NCCCC2=CNC3=CC=C(Cl)C=C23)C2=CC(Cl)=CC=C21,1,0.381,0.835,428.4
170,13999,CC-C-C(C)-N,3,91,83,8,0.3117,0.3808,87.38,38,32,6,0.345,84.21,48,47,1,0.301,97.92,5,4,1,0.289,80.0,CHEMBL475752,CC1=CC(C)=C2C(=O)NC(C3=CC=CS3)=NC2=N1,1,0.381,0.898,257.3,CHEMBL475751,CC1=CC(C)=C2C(=O)NC(C3=CC=CO3)=NC2=N1,1,0.381,0.735,241.3,CS000156913,Cc1cc(C)n2nc([N+](=O)[O-])c([N+](=O)[O-])c2n1,1,0.381,0.707,237.2
171,25878,CC-N-C-CCO,3,83,83,0,0.3083,0.3808,100.0,23,23,0,0.26,100.0,30,30,0,0.288,100.0,30,30,0,0.377,100.0,CHEMBL199417,CCOC(=O)C1=CC=C(/N=C2\OC3=C(C)N=CC(CO)=C3C=C2C(=O)NC2=CC=CC=C2)C=C1,1,0.376,0.598,457.5,CHEMBL200042,CC1=CC=C2N=C(C3=CC=C(/N=C4\OC5=C(C)N=CC(CO)=C5C=C4C(=O)NC4=CC=CC=C4)C=C3)SC2=C1,1,0.344,0.889,532.6,CHEMBL197812,CC1=CC=C(NC(=O)C2=CC3=C(CO)C=NC(C)=C3O/C2=N\C2=CC=C(Br)C=C2)C=C1,1,0.381,0.929,478.3
172,21144,C-C-CC=O,3,83,83,0,0.2899,0.3808,100.0,37,37,0,0.283,100.0,26,26,0,0.348,100.0,20,20,0,0.238,100.0,CHEMBL3818480,CCCCCCCCCCCCN1C(CCCC)=NC(Cl)=C1/C=N/N1C(=O)C2=CC=CC3=C(N4CCOCC4)C=CC(=C23)C1=O,1,0.381,0.954,634.3,CHEMBL3818480,CCCCCCCCCCCCN1C(CCCC)=NC(Cl)=C1/C=N/N1C(=O)C2=CC=CC3=C(N4CCOCC4)C=CC(=C23)C1=O,1,0.376,0.863,634.3,CHEMBL3818480,CCCCCCCCCCCCN1C(CCCC)=NC(Cl)=C1/C=N/N1C(=O)C2=CC=CC3=C(N4CCOCC4)C=CC(=C23)C1=O,1,0.357,0.99,634.3
173,18034,C-C(C(=O)OCC)-C=O,3,81,81,0,0.2173,0.32,100.0,26,26,0,0.199,100.0,32,32,0,0.267,100.0,23,23,0,0.186,100.0,CHEMBL108134,CCOC(=O)C1=CN(C2=NC=CS2)C2=NC(N3CCC(N)C3)=C(F)C=C2C1=O,1,0.32,0.666,403.4,CHEMBL3334858,CCOC(=O)C1=CN(CC(O)CN2C=NC([N+](=O)[O-])=C2)C2=CC=C(F)C=C2C1=O,1,0.317,0.933,404.4,CHEMBL2382008,CCOC(=O)C1=CN(CC(O)CN2C=NC=N2)C2=C(F)C=C(F)C=C2C1=O,1,0.257,0.861,378.3
174,7114,NNC(N)=S,3,85,80,5,0.2965,0.3808,94.63,29,29,0,0.343,100.0,36,32,4,0.284,88.89,20,19,1,0.263,95.0,CHEMBL1761913,COC1=CC=C([C@H]2O[C@@H](C3=CC=C(OC)C=C3)[C@H](C)/C(=N/NC(N)=S)[C@H]2C)C=C1,1,0.381,0.928,413.5,CHEMBL1761911,C[C@@H]1/C(=N\NC(N)=S)[C@@H](C)[C@H](C2=CC=C(Cl)C=C2)O[C@@H]1C1=CC=C(Cl)C=C1,1,0.381,0.799,422.4,CS000084683,NC(=S)N/N=C1C(=N/O)/CCC2=NON=C/12,1,0.381,0.678,240.2
175,17089,O=[N+]([O-])C1=CC=CO1,3,80,80,0,0.2722,0.3808,100.0,30,30,0,0.194,100.0,35,35,0,0.299,100.0,15,15,0,0.323,100.0,CHEMBL118698,C/C(=C\C1=NC=C(C2=CC=C([N+](=O)[O-])O2)O1)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,1,0.306,0.822,478.5,CHEMBL118698,C/C(=C\C1=NC=C(C2=CC=C([N+](=O)[O-])O2)O1)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,1,0.381,0.959,478.5,CS000504310,CC12CN3CC(C)(CN(C1)C3c1ccc([N+](=O)[O-])o1)C2,1,0.381,0.843,277.3
176,14890,CC1=NC=C([N+](=O)[O-])N1C,3,80,79,1,0.3294,0.3808,96.97,41,41,0,0.27,100.0,28,28,0,0.352,100.0,11,10,1,0.366,90.91,CHEMBL250980,CN1C([N+](=O)[O-])=CN=C1/C=C1\OC2=CC=CC=C2C1=O,1,0.381,0.777,271.2,CHEMBL2047622,CC1=NC=C([N+](=O)[O-])N1CC1=NN=C(C2=CC=C(Cl)C=C2)O1,1,0.381,0.848,319.7,CHEMBL4557967,CC(=O)N1N=C(CN2C([N+](=O)[O-])=CN=C2C)OC1(C)C1=CC=C(Br)C=C1,1,0.381,0.984,422.2
177,3050,C-C-N-C,3,80,78,2,0.3297,0.3808,96.49,29,29,0,0.316,100.0,19,17,2,0.319,89.47,32,32,0,0.354,100.0,CS000036976,CC1=C2C=CN=CC2=C(C)C2=C1NC1=CC=CC=C12,1,0.381,0.671,246.3,CHEMBL3818631,O=C1C2=CN=CC=C2N=C(/C=C/C2=CC=C(Cl)C=C2)N1C1=CC=CC(O)=C1,1,0.381,0.796,375.8,CHEMBL132506,[N-]=[N+]=NC1=CN=C2C(=O)C3=CC=CC=C3C3=C2C1=CC=N3,1,0.381,0.94,273.3
178,15823,IC1=CC=CC=C1,3,88,78,10,0.3246,0.3808,86.38,35,30,5,0.311,85.71,14,11,3,0.339,78.57,39,37,2,0.324,94.87,CHEMBL2036905,IC1=CC=C(C2=CSC(N/N=C/C3=CC=C4OCOC4=C3)=N2)C=C1,1,0.381,0.523,449.3,CHEMBL2036908,C/C(=N\NC1=NC(C2=CC=C(I)C=C2)=CS1)C1=CC2=CC=CC=C2OC1=O,1,0.381,0.735,487.3,CHEMBL576686,N=C1C(=S)N(C2=CC=C(I)C=C2)C(=S)N1C1=CC=C(I)C=C1,1,0.381,0.971,549.2
179,6807,N#CC1=CC=CC=C1,3,80,78,2,0.2432,0.3808,96.97,36,36,0,0.254,100.0,22,21,1,0.196,95.45,22,21,1,0.28,95.45,CHEMBL87620,CC(=O)NCC1CN(C2=CC=C(C#N)C=C2)C(=O)O1,1,0.381,0.869,259.3,CHEMBL1088460,COC1=CC=C(C2=NN=C(C3=CC=CC(C#N)=C3)O2)C(F)=C1,1,0.293,0.951,295.3,CHEMBL1088460,COC1=CC=C(C2=NN=C(C3=CC=CC(C#N)=C3)O2)C(F)=C1,1,0.381,0.945,295.3
180,24325,C1=NCCCN1,3,76,76,0,0.3821,0.7616,100.0,24,24,0,0.396,100.0,24,24,0,0.37,100.0,28,28,0,0.381,100.0,CHEMBL561705,CC(C)=C/C=C/C1(C)CCN=C(N)N1,1,0.762,0.98,193.3,CHEMBL3094492,C1=CC2=C(C=C1C1=NCCCN1)NC(C1=CN=C(C3=CC4=CC=C(C5=NCCCN5)C=C4N3)C=N1)=C2,1,0.381,0.973,474.6,CHEMBL3094501,C1=CC2=C(C=C1C1=NCCCN1)NC(C1=CC=C(C3=CC4=CC=C(C5=NCCCN5)C=C4N3)C=C1)=C2,1,0.381,0.991,472.6
181,2212,O=CC=O,3,84,76,8,0.2928,0.3808,89.63,49,46,3,0.342,93.88,20,15,5,0.268,75.0,15,15,0,0.267,100.0,CHEMBL3763580,O=C1C(=O)C2=C(N=C3C=CC(Br)=CN23)C2=CC=CC=C12,1,0.381,0.971,327.1,CHEMBL4639011,[N-]=[N+]=NC1=CC=C(C2=NN(C(=O)CN3C(=O)C(=O)C4=CC=CC=C43)C(C3=CC=C(F)C=C3)C2)C=C1,1,0.381,0.97,468.4,CS000188592,Cc1ccc(C(=O)C=O)c(C)c1,1,0.381,0.554,162.2
182,4299,C-C(OC)-C(OC)-C,3,95,76,19,0.249,0.3808,71.11,60,53,7,0.269,88.33,28,19,9,0.275,67.86,7,4,3,0.203,57.14,CHEMBL4224971,CCOC(=O)CCCCCCCC1=C2C3=CC(OC)=C(OC)C=C3CC[N+]2=CC2=C(OC)C(OC)=CC=C12,1,0.381,0.836,522.7,CHEMBL2376069,COC1=CC2=C(C=C1OC)C(=O)N(C1=CC=CC=C1)C(SC1=CN=C(N)S1)=N2,1,0.375,0.876,412.5,CHEMBL1087927,COC1=CC2=C(C=C1OC)[C@H](C1=CC=C(O)C=C1)[C@@H](C)C(C)=C2,1,0.311,0.622,310.4
183,4223,CCNCC,3,81,76,5,0.2307,0.3808,87.12,51,51,0,0.215,100.0,22,19,3,0.193,86.36,8,6,2,0.285,75.0,CS000056468,CCN(CC)c1ccc2c(-c3ccccc3C(=O)N3CCN(C(=O)C4(F)C#CCCCCC4)CC3)c3ccc(=[N+](CC)CC)cc-3oc2c1,1,0.381,0.994,663.9,CHEMBL521035,C[C@H]1C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@](C)(O)[C@]1(C)O)[C@H]23,1,0.381,0.507,325.4,CS000021710,CCN(CC)C1CC(=O)N(c2ccc(CC(=O)OC)cc2)C1=O,1,0.381,0.769,318.4
