rank,fragment_id,fragment_smiles,pathogen_count,total_compounds,total_tp,total_tn,overall_avg_attribution,overall_max_attribution,avg_activity_rate_percent,SA_compounds,SA_tp,SA_tn,SA_avg_attr,SA_activity_pct,EC_compounds,EC_tp,EC_tn,EC_avg_attr,EC_activity_pct,CA_compounds,CA_tp,CA_tn,CA_avg_attr,CA_activity_pct,SA_example_id,SA_example_smiles,SA_example_target,SA_example_attr,SA_example_pred,SA_example_mw,EC_example_id,EC_example_smiles,EC_example_target,EC_example_attr,EC_example_pred,EC_example_mw,CA_example_id,CA_example_smiles,CA_example_target,CA_example_attr,CA_example_pred,CA_example_mw
285,1797,C(NCC1=CC=CC=C1)NC1=CC=CC=C1,3,89,83,6,0.6367,0.7616,87.14,43,42,1,0.641,97.67,39,36,3,0.692,92.31,7,5,2,0.577,71.43,CHEMBL1808848,O=C(NC1=CC=CC=C1)N(CC1=CC(Br)=CC=C1O)C1=CC=CC=C1Cl,1,0.762,0.983,431.7,CHEMBL2298025,NS(=O)(=O)C1=CC=C(NC(=S)NC(=O)C2=CC([N+](=O)[O-])=CC=C2Cl)C=C1,1,0.762,0.906,414.9,CHEMBL2296503,CC1=NN(C2=CC=C(NC(=S)NCC3=CC=CC=C3)C=C2F)C(=O)N1CCCN1C=CN=C1,0,0.762,0.192,465.6
286,17257,C(CCN1C=CN=C1)C1=CC=CC=C1,3,86,83,3,0.6325,0.7616,98.28,18,18,0,0.641,100.0,10,10,0,0.717,100.0,58,55,3,0.54,94.83,CHEMBL77542,O=C(C1=CC=C(Cl)C=C1Cl)C(Cl)(CN1C=CN=C1)C1=CC=CC=C1,1,0.762,0.893,379.7,CHEMBL476381,FC1=CC=CC2=C1CCC(CN1C=CN=C1)/C2=N/OCC1=CC=CC(Cl)=C1,1,0.76,0.944,383.9,CHEMBL5422694,O=C(NC(CN1C=CN=C1)C(=O)C1=CC=CC=C1)C1=NOC(C2=CC=CC=C2)=C1,1,0.762,0.883,386.4
287,11834,C(CN1C=CN=N1)NC1=CC=CC=C1,3,87,83,4,0.4547,0.7616,89.74,45,45,0,0.525,100.0,29,29,0,0.395,100.0,13,9,4,0.444,69.23,CHEMBL4160194,COC(=O)[C@]1(C)CCC[C@]2(C)C3=CC=C(C(C)C)C(NC(=O)CN4C=C(C5=CC=CC(NC(=O)OC(C)(C)C)=C5)N=N4)=C3CC[C@@H]12,1,0.762,0.866,629.8,CHEMBL4165478,COC(=O)[C@]1(C)CCC[C@]2(C)C3=CC=C(C(C)C)C(NC(=O)CN4C=C(C5=CC=CC(NC(C)=O)=C5)N=N4)=C3CC[C@@H]12,1,0.581,0.67,571.7,CHEMBL5193613,O=C(CN1C=C(C2=CC=CC=C2)N=N1)NC1=CC=C(NC(=O)CN2C=C(C3=CC=CC=C3)N=N2)C=C1,1,0.735,0.745,478.5
288,8151,C1=NN(CN2CCNCC2)CN1,3,82,82,0,0.5876,0.7616,100.0,31,31,0,0.625,100.0,32,32,0,0.595,100.0,19,19,0,0.542,100.0,CHEMBL243006,CSC1=CC=C(CC2=NN(CN3CCN(C)CC3)C(=S)N2/N=C/C2=CC=C(C)C=C2)C=C1,1,0.762,0.996,466.7,CHEMBL396993,CSC1=CC=C(CC2=NN(CN3CCN(C)CC3)C(=S)N2/N=C/C2=CC=C(Cl)C=C2)C=C1,1,0.762,0.988,487.1,CHEMBL558603,CC1=NNC=C1/C=N/N1C(C2=CC=CC=C2)=NN(CN2CCN(C)CC2)C1=S,1,0.754,0.917,396.5
289,3460,C1NCC2=CC=CC=C12,3,107,82,25,0.3694,0.7616,75.86,48,38,10,0.335,79.17,37,28,9,0.385,75.68,22,16,6,0.388,72.73,CHEMBL248693,COC1=CC(O)=C2C(=C1C)C(=O)N1C3=CC=C(Cl)C=C3[C@@H](O)C[C@H]21,1,0.753,0.861,345.8,CHEMBL4475347,CC(C)(O)C#CC#CC1=CC=C2C(=O)N(CC[C@](C)(C(=O)NO)S(C)(=O)=O)CC2=C1,1,0.762,0.993,432.5,CS000224905,Cc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc([N+](=O)[O-])c2)C3=O)cc1,0,0.762,0.194,401.4
290,25867,C(NC1=CC=CC=C1)C1=CC=CO/C1=N\C1=CC=CC=C1,3,81,81,0,0.7155,0.7616,100.0,23,23,0,0.741,100.0,29,29,0,0.679,100.0,29,29,0,0.726,100.0,CHEMBL200378,CC1=CC=C(NC(=O)C2=CC3=C(CO)C=NC(C)=C3O/C2=N\C2=CC=C(OC3=CC=CC=C3)C=C2)C=C1,1,0.762,0.709,491.5,CHEMBL197812,CC1=CC=C(NC(=O)C2=CC3=C(CO)C=NC(C)=C3O/C2=N\C2=CC=C(Br)C=C2)C=C1,1,0.75,0.904,478.3,CHEMBL200516,COC1=CC(NC(=O)C2=CC3=C(CO)C=NC(C)=C3O/C2=N\C2=CC=C(C(N)=O)C=C2)=CC(OC)=C1,1,0.762,0.834,488.5
291,2325,C1C=CN(CCCN2C=CN=C2)C=C1,3,81,81,0,0.6754,0.7616,100.0,31,31,0,0.672,100.0,31,31,0,0.679,100.0,19,19,0,0.675,100.0,CHEMBL3334869,CCOC(=O)C1=CN(CC(O)CN2C([N+](=O)[O-])=CN=C2C)C2=C(Cl)C=C(Cl)C=C2C1=O,1,0.762,0.994,469.3,CHEMBL3334504,O=C(O)C1=CN(CC(O)CN2C=NC([N+](=O)[O-])=C2)C2=C(F)C=C(F)C=C2C1=O,1,0.722,0.97,394.3,CHEMBL3334858,CCOC(=O)C1=CN(CC(O)CN2C=NC([N+](=O)[O-])=C2)C2=CC=C(F)C=C2C1=O,1,0.762,0.86,404.4
292,2327,C1=CC=C2C(=C1)CC=CN2CCCN1C=CN=C1,3,81,81,0,0.6269,0.7315,100.0,31,31,0,0.628,100.0,31,31,0,0.637,100.0,19,19,0,0.616,100.0,CHEMBL3334882,CC1=NC=C([N+](=O)[O-])N1CC(O)CN1C=C(C(=O)O)C(=O)C2=CC=C(C(F)(F)F)C=C21,1,0.732,0.998,440.3,CHEMBL3334504,O=C(O)C1=CN(CC(O)CN2C=NC([N+](=O)[O-])=C2)C2=C(F)C=C(F)C=C2C1=O,1,0.688,0.97,394.3,CHEMBL3334856,CCOC(=O)C1=CN(CC(O)CN2C=NC([N+](=O)[O-])=C2)C2=C(F)C=C(F)C=C2C1=O,1,0.708,0.879,422.3
293,819,C1=CC=C2C(=C1)CC[N+]1=CC3=CC=CC=C3C=C21,3,95,81,14,0.5786,0.7616,83.38,54,52,2,0.632,96.3,26,14,12,0.576,53.85,15,15,0,0.528,100.0,CS000159110,COC1=CC=C2C(CC3=CC=C(Cl)C=C3Cl)=C3C4=CC5=C(C=C4CC[N+]3=CC2=C1OC)OCO5,1,0.762,0.942,495.4,CS000070007,COC1=CC=C2C(CC3=CC=CC=C3)=C3C4=CC5=C(C=C4CC[N+]3=CC2=C1OC)OCO5,0,0.762,0.115,426.5,CHEMBL1272193,COC1=CC=C2C(CC3=CC=C(C(C)C)C=C3)=C3C4=CC5=C(C=C4CC[N+]3=CC2=C1OCCCO)OCO5,1,0.739,0.803,512.6
294,15685,C1=CC=C(C=C1)N1C=CN=C1,3,86,81,5,0.5643,0.7616,94.47,24,24,0,0.506,100.0,40,37,3,0.571,92.5,22,20,2,0.616,90.91,CHEMBL4205083,O=C1C2=NC=CN2C2=CC(F)=C(C3=CC=CN=C3)C=C2N1C1CC1,1,0.757,0.729,320.3,CHEMBL4205083,O=C1C2=NC=CN2C2=CC(F)=C(C3=CC=CN=C3)C=C2N1C1CC1,1,0.727,0.814,320.3,CHEMBL4127109,CCOC1=CC=C2C(=C1)SC1=NC(C3=CC=CC=C3)=C(COCCCCCN3C(C)=CN=C3[N+](=O)[O-])N12,1,0.762,0.795,519.6
295,9212,C1=CC=C(CCOC2=CC=CC=C2)C=C1,3,81,80,1,0.6877,0.7616,98.89,30,29,1,0.69,96.67,21,21,0,0.701,100.0,30,30,0,0.672,100.0,CHEMBL4097318,CC(C)(C)C1=CC=C(O[C@@H](CC2=CC=C3OC(CCC4=CC=CC=C4)=NC3=C2)C(=O)O)C=C1,1,0.762,0.943,443.5,CHEMBL4105017,CC(C)(C)C1=CC=C(O[C@@H](CC2=CC=C3OC(CCC4=CC=C(F)C=C4)=NC3=C2)C(=O)O)C=C1,1,0.762,0.852,461.5,CHEMBL410265,O=C(O)C1=CC=C(NCC2=CC=C(C3=CC=C(OCC(O)(CN4C=NC=N4)C4=CC=C(F)C=C4F)C=C3)C=C2)C=C1,1,0.762,0.977,556.6
